Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,13.09,14.12,13.00,14.08,113351000,13.433571
2008-12-30,13.09,13.24,12.66,13.24,72897800,12.632136
2008-12-29,13.57,13.73,12.68,12.94,62741300,12.34591
2008-12-26,13.66,13.80,13.29,13.36,43646200,12.746627
2008-12-24,12.75,13.56,12.74,13.53,38022300,12.908822
2008-12-23,13.43,13.58,12.72,12.75,68454600,12.164633
2008-12-22,13.90,14.01,13.21,13.53,72654800,12.908822
2008-12-19,14.07,14.37,13.60,13.80,104069400,13.166427
2008-12-18,14.85,15.11,13.91,13.96,102574800,13.319081
2008-12-17,14.82,15.39,14.50,14.62,96214400,13.948779
2008-12-16,14.18,15.20,13.51,15.10,183131000,14.406742
2008-12-15,15.05,15.10,13.90,14.11,81959400,13.462194
2008-12-12,14.11,15.09,13.90,14.93,119512500,14.244547
2008-12-11,16.33,16.370001,14.83,14.91,107442900,14.225465
2008-12-10,17.27,17.360001,16.049999,16.690001,88454000,15.923744
2008-12-09,17.40,17.940001,16.90,16.950001,116333600,16.171807
2008-12-08,16.190001,18.00,16.049999,17.84,164101500,17.020946
2008-12-05,13.90,15.46,13.75,15.24,140156600,14.540314
2008-12-04,14.74,15.36,13.93,14.34,107562100,13.681634
2008-12-03,13.70,15.18,13.39,15.05,128501000,14.359038
2008-12-02,13.46,14.69,12.91,14.37,136087200,13.404948
2008-12-01,15.59,15.60,12.77,12.85,127347400,11.987028
2008-11-28,15.43,16.389999,15.41,16.25,52660100,15.158692
2008-11-26,14.32,15.46,13.75,15.43,118890800,14.393762
2008-11-25,15.23,15.50,13.91,14.80,145943000,13.806071
2008-11-24,12.59,14.85,12.43,14.59,197880500,13.610174
2008-11-21,12.08,12.16,10.01,11.47,229691500,10.699705
2008-11-20,12.81,13.24,11.00,11.25,196136500,10.494479
2008-11-19,14.81,14.98,12.93,13.06,173059700,12.182925
2008-11-18,15.17,15.72,14.54,15.19,149127600,14.169879
2008-11-17,16.209999,16.280001,14.98,15.03,130129600,14.020624
2008-11-14,16.84,18.040001,16.200001,16.42,124550600,15.317276
2008-11-13,17.16,17.40,14.88,17.10,197772100,15.951609
2008-11-12,18.35,18.84,17.00,17.00,101948600,15.858324
2008-11-11,19.15,19.33,18.25,18.690001,103837200,17.434829
2008-11-10,21.049999,21.139999,19.049999,19.48,79599800,18.171774
2008-11-07,20.440001,20.74,19.950001,20.49,82003200,19.113945
2008-11-06,21.620001,22.309999,19.959999,20.120001,118548800,18.768794
2008-11-05,24.110001,24.35,21.559999,21.75,88416800,20.289327
2008-11-04,24.030001,24.620001,23.469999,24.530001,89542600,22.88263
2008-11-03,23.969999,24.059999,23.10,23.610001,59182300,22.024415
2008-10-31,22.35,24.17,22.35,24.17,134621200,22.546806
2008-10-30,23.309999,23.48,22.17,22.780001,77086600,21.250155
2008-10-29,23.00,23.809999,22.10,22.32,110623200,20.821047
2008-10-28,21.290001,23.27,20.02,23.02,110456600,21.474037
2008-10-27,20.870001,21.799999,20.49,20.530001,73489800,19.151259
2008-10-24,20.49,22.27,20.49,21.07,106422900,19.654994
2008-10-23,22.58,23.200001,21.559999,23.00,97334900,21.45538
2008-10-22,23.440001,24.389999,21.66,22.66,99175000,21.138213
2008-10-21,23.950001,24.92,23.700001,23.969999,75498200,22.360237
2008-10-20,23.92,24.450001,23.01,24.40,84862900,22.761359
2008-10-17,23.540001,24.780001,23.16,23.24,113718000,21.679262
2008-10-16,24.41,25.02,22.110001,24.25,132357000,22.621433
2008-10-15,25.40,26.08,23.60,23.82,118298900,22.220311
2008-10-14,26.43,27.209999,25.00,26.530001,213923300,24.748315
2008-10-13,23.780001,24.309999,21.65,22.790001,169776400,21.259484
2008-10-10,19.40,22.15,18.99,20.870001,212897700,19.468426
2008-10-09,23.33,24.00,19.51,19.629999,197845600,18.3117
2008-10-08,20.35,23.700001,20.01,22.10,322727700,20.615822
2008-10-07,29.65,30.24,23.77,23.77,143285000,22.173669
2008-10-06,31.780001,33.490002,30.780001,32.220001,82372200,30.05619
2008-10-03,37.860001,38.50,34.02,34.48,71040700,32.164413
2008-10-02,37.84,38.439999,36.310001,36.369999,60475000,33.927485
2008-10-01,34.57,38.50,34.220001,38.130001,77465900,35.56929
2008-09-30,32.400002,35.43,31.85,35.00,79197200,32.649491
2008-09-29,36.700001,36.700001,30.25,30.25,102415400,28.218489
2008-09-26,33.759998,37.50,33.290001,36.700001,71964400,34.235325
2008-09-25,34.07,35.50,33.52,34.369999,60479300,32.0618
