Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,213.130005,213.349997,210.559999,210.730003,88102700,27.710543
2009-12-30,208.83,212.000006,208.310001,211.639997,103021100,27.830205
2009-12-29,212.629993,212.719995,208.729998,209.100006,111301400,27.496202
2009-12-28,211.719999,213.949997,209.610004,211.609997,161141400,27.82626
2009-12-24,203.549999,209.349998,203.349995,209.040005,125222300,27.488311
2009-12-23,201.199999,202.379999,200.810003,202.100006,86381400,26.575717
2009-12-22,199.439999,200.850004,198.659994,200.360006,87378900,26.34691
2009-12-21,196.050001,199.750006,195.670006,198.229998,152976600,26.066819
2009-12-18,193.170002,195.500002,192.600002,195.43,152192600,25.698625
2009-12-17,194.26,195.000004,191.000006,191.859999,97209700,25.229178
2009-12-16,195.100006,196.499998,194.549994,195.030005,88246200,25.646027
2009-12-15,195.829996,197.509995,193.270004,194.169998,104864900,25.532938
2009-12-14,195.369999,197.430006,192.560001,196.979996,123947600,25.902446
2009-12-11,197.780001,198.000006,193.429995,194.669996,107443700,25.598686
2009-12-10,199.50,199.700005,196.120003,196.429996,122417400,25.830122
2009-12-09,191.279999,198.159996,190.310003,197.800001,171195500,26.010275
2009-12-08,189.359995,192.349997,188.700006,189.870007,172599700,24.967498
2009-12-07,193.320005,193.770002,188.680006,188.949999,178689700,24.846519
2009-12-04,199.700005,199.879995,190.280003,193.320005,206721200,25.421165
2009-12-03,197.420006,198.980001,196.270006,196.479998,112179900,25.836698
2009-12-02,198.960001,201.420004,195.749994,196.230005,178815000,25.803824
2009-12-01,202.239996,202.769995,196.830006,196.969995,116440800,25.901131
2009-11-30,201.109997,201.679996,198.769997,199.909996,106214500,26.287735
2009-11-27,199.219994,202.959999,198.370001,200.589998,73814300,26.377154
2009-11-25,205.400002,205.649994,203.760004,204.190001,71613500,26.850546
2009-11-24,205.33,205.879999,202.899998,204.440006,79609600,26.883422
2009-11-23,203.00,206.000002,202.949999,205.879999,118724200,27.072778
2009-11-20,199.150005,200.389994,197.76,199.919996,101666600,26.28905
2009-11-19,204.609997,204.609997,199.799994,200.509996,135581600,26.366634
2009-11-18,206.540001,206.999998,203.999996,205.960001,93580200,27.083298
2009-11-17,206.080004,207.439995,205.000006,206.999998,99128400,27.220055
2009-11-16,205.480003,207.999994,205.010006,206.630003,121301600,27.171401
2009-11-13,202.869997,204.830002,202.070005,204.450006,85810200,26.884737
2009-11-12,203.140003,204.870003,201.430004,201.990004,90932800,26.561251
2009-11-11,204.559996,205.000006,201.83,203.250006,110967500,26.726939
2009-11-10,201.019995,204.980005,201.009995,202.98,100298800,26.691434
2009-11-09,196.939995,201.900002,196.260006,201.460005,132213900,26.491558
2009-11-06,192.51,195.189995,192.399998,194.340002,73774400,25.555293
2009-11-05,192.399998,195.000004,191.819998,194.029995,96200300,25.514527
2009-11-04,190.73,193.850004,190.230001,190.810001,121882600,25.091105
2009-11-03,187.85,189.519999,185.919996,188.749994,130635400,24.820219
2009-11-02,189.800005,192.879995,185.570002,189.309994,169745800,24.893857
