Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,93.43,94.150002,93.410004,93.82,674300,83.973058
2010-12-30,93.360001,93.489998,93.040001,93.349998,529800,83.552387
2010-12-29,92.610001,93.699997,92.470001,93.540001,1362200,83.722447
2010-12-28,93.32,93.370003,92.50,92.50,955200,82.7916
2010-12-27,93.370003,93.769997,93.120003,93.730003,407100,83.670541
2010-12-23,93.540001,93.540001,93.239998,93.370003,540600,83.349177
2010-12-22,93.910004,93.949997,93.57,93.699997,308900,83.643755
2010-12-21,93.919998,93.970001,93.470001,93.959999,848500,83.875853
2010-12-20,94.120003,94.360001,93.550003,93.760002,804000,83.69732
2010-12-17,93.199997,93.870003,93.120003,93.769997,1361700,83.706242
2010-12-16,92.459999,92.989998,92.059998,92.970001,1351000,82.992105
2010-12-15,93.040001,93.209999,92.099998,92.419998,1871900,82.50113
2010-12-14,93.400002,93.620003,92.50,92.800003,1878500,82.840352
2010-12-13,93.349998,94.059998,93.209999,93.790001,1323400,83.724099
2010-12-10,93.980003,94.089996,93.489998,93.489998,1002400,83.456294
2010-12-09,94.330002,94.510002,93.900002,94.290001,1664700,84.170437
2010-12-08,94.25,94.290001,93.43,94.089996,2155300,83.991898
2010-12-07,95.650002,95.739998,94.669998,94.900002,1335700,84.71497
2010-12-06,96.360001,96.510002,96.169998,96.50,902000,86.143251
2010-12-03,96.50,96.540001,95.800003,95.900002,374500,85.607647
2010-12-02,96.07,96.349998,95.870003,95.889999,983500,85.598718
2010-12-01,96.410004,96.68,96.080002,96.129997,1967700,85.812958
2010-11-30,98.010002,98.029999,97.559998,97.650002,874200,86.956477
2010-11-29,97.550003,97.610001,97.300003,97.480003,527800,86.805096
2010-11-26,97.110001,97.279999,97.019997,97.269997,210100,86.618086
2010-11-24,97.489998,97.540001,96.779999,96.849998,1112700,86.244082
2010-11-23,98.089996,98.230003,97.790001,97.900002,659400,87.1791
2010-11-22,97.480003,97.709999,97.370003,97.699997,495400,87.000998
2010-11-19,96.970001,97.190002,96.919998,97.18,530600,86.537945
2010-11-18,96.959999,97.050003,96.599998,96.980003,2968200,86.35985
2010-11-17,97.519997,97.769997,97.089996,97.209999,580200,86.564659
2010-11-16,97.199997,97.540001,96.650002,97.489998,954600,86.813996
2010-11-15,97.459999,97.730003,96.760002,96.769997,1174200,86.172841
2010-11-12,98.610001,98.800003,98.019997,98.029999,2041400,87.294862
2010-11-11,99.019997,99.07,98.580002,98.849998,403500,88.025064
2010-11-10,98.650002,99.040001,98.059998,98.959999,1298900,88.123019
2010-11-09,99.43,99.480003,98.559998,98.589996,744600,87.793535
2010-11-08,99.550003,99.669998,99.32,99.43,469400,88.541551
2010-11-05,99.68,99.849998,99.400002,99.400002,1108100,88.514837
2010-11-04,99.599998,99.949997,99.599998,99.82,1092500,88.888842
2010-11-03,99.029999,99.190002,98.419998,99.019997,912000,88.176446
2010-11-02,98.620003,98.730003,98.559998,98.699997,356700,87.891489
2010-11-01,98.839996,98.839996,98.300003,98.370003,1042700,87.597632
2010-10-29,98.540001,98.839996,98.489998,98.769997,768600,87.744559
2010-10-28,98.129997,98.419998,98.080002,98.330002,738700,87.353679
2010-10-27,98.120003,98.190002,97.75,97.760002,1223500,86.847307
2010-10-26,98.669998,98.720001,98.330002,98.330002,831800,87.353679
2010-10-25,99.400002,99.50,98.949997,98.989998,1436800,87.940002
2010-10-22,98.879997,99.110001,98.870003,99.019997,643600,87.966652
2010-10-21,99.370003,99.459999,98.989998,98.989998,594300,87.940002
2010-10-20,99.370003,99.760002,99.290001,99.540001,615100,88.428609
2010-10-19,99.129997,99.739998,99.110001,99.599998,763700,88.48191
2010-10-18,99.230003,99.489998,99.089996,99.260002,1149600,88.179866
2010-10-15,99.080002,99.150002,98.620003,98.790001,807100,87.76233
2010-10-14,99.75,99.809998,99.150002,99.220001,955100,88.14433
2010-10-13,99.480003,99.830002,99.32,99.790001,473800,88.650703
2010-10-12,100.099998,100.260002,99.730003,99.790001,991900,88.650703
2010-10-11,100.120003,100.199997,99.959999,100.080002,400300,88.908331
2010-10-08,100.199997,100.379997,99.970001,99.980003,868200,88.819496
2010-10-07,99.919998,100.059998,99.830002,99.940002,534700,88.78396
2010-10-06,99.879997,100.120003,99.75,99.839996,614400,88.695117
2010-10-05,99.239998,99.300003,99.089996,99.199997,1092900,88.126559
2010-10-04,99.029999,99.239998,98.959999,99.18,1260800,88.108795
2010-10-01,98.510002,98.949997,98.379997,98.830002,846600,87.797866
2010-09-30,99.059998,99.07,98.400002,99.010002,813200,87.750779
2010-09-29,99.389999,99.440002,99.080002,99.129997,820400,87.857129
2010-09-28,99.07,99.50,99.059998,99.370003,776000,88.069842
2010-09-27,98.639999,99.050003,98.639999,99.040001,782100,87.777367
2010-09-24,98.360001,98.459999,98.239998,98.279999,1317500,87.103791
2010-09-23,99.139999,99.139999,98.550003,98.769997,514000,87.538067
2010-09-22,98.760002,99.019997,98.559998,98.629997,978800,87.413988
2010-09-21,97.849998,98.489998,97.510002,98.480003,1279500,87.281051
2010-09-20,97.419998,97.57,97.209999,97.57,619900,86.474531
2010-09-17,97.339996,97.540001,97.169998,97.269997,1738600,86.208644
2010-09-16,97.279999,97.360001,96.860001,97.050003,2902900,86.013668
2010-09-15,97.599998,97.830002,97.339996,97.389999,900600,86.315
2010-09-14,97.419998,97.790001,97.410004,97.730003,590900,86.61634
2010-09-13,96.720001,97.300003,96.720001,97.239998,1450100,86.182057
2010-09-10,96.790001,96.900002,96.580002,96.779999,725300,85.774368
2010-09-09,97.389999,97.470001,97.010002,97.059998,929300,86.022526
2010-09-08,97.839996,98.00,97.620003,97.830002,1124900,86.704966
2010-09-07,97.849998,98.129997,97.730003,98.099998,778200,86.94426
2010-09-03,97.120003,97.50,97.080002,97.330002,1308300,86.261825
2010-09-02,98.07,98.089996,97.830002,97.889999,1273500,86.758141
2010-09-01,98.639999,98.690002,97.919998,98.300003,1268700,87.12152
2010-08-31,99.220001,99.339996,99.010002,99.260002,1276700,87.753439
2010-08-30,98.389999,98.830002,98.309998,98.82,463500,87.364443
2010-08-27,98.779999,99.129997,97.900002,98.07,1014100,86.701386
2010-08-26,98.809998,99.209999,98.709999,99.209999,845000,87.709232
2010-08-25,99.470001,99.660004,98.669998,98.760002,690100,87.311401
2010-08-24,98.970001,99.389999,98.839996,99.209999,973400,87.709232
2010-08-23,98.260002,98.50,98.160004,98.43,575600,87.019654
2010-08-20,98.610001,98.68,98.25,98.300003,306000,86.904726
2010-08-19,98.150002,98.769997,98.120003,98.620003,684100,87.18763
2010-08-18,98.540001,98.660004,98.139999,98.18,1148600,86.798635
2010-08-17,98.519997,98.540001,98.099998,98.279999,774300,86.887041
2010-08-16,98.660004,98.809998,98.540001,98.779999,1453200,87.329079
2010-08-13,97.839996,98.089996,97.779999,98.07,705800,86.701386
2010-08-12,97.959999,97.970001,97.550003,97.650002,1701100,86.330075
2010-08-11,97.699997,97.93,97.639999,97.900002,911200,86.551094
2010-08-10,96.809998,97.419998,96.720001,97.349998,641200,86.064849
2010-08-09,96.75,96.879997,96.699997,96.860001,464800,85.631654
2010-08-06,96.68,96.889999,96.529999,96.879997,438400,85.649332
2010-08-05,96.120003,96.290001,96.029999,96.25,817400,85.092367
2010-08-04,96.150002,96.169998,95.790001,95.790001,777600,84.685692
2010-08-03,96.029999,96.260002,95.989998,96.190002,911900,85.039324
2010-08-02,95.790001,95.919998,95.68,95.739998,1160900,84.641486
2010-07-30,96.230003,96.349998,96.029999,96.290001,563600,84.904063
2010-07-29,95.489998,95.919998,95.43,95.730003,737300,84.410283
2010-07-28,95.18,95.610001,95.099998,95.529999,933000,84.233928
2010-07-27,95.139999,95.360001,95.099998,95.120003,528200,83.872413
2010-07-26,95.440002,95.550003,95.230003,95.449997,626300,84.163386
2010-07-23,95.860001,95.93,95.150002,95.480003,799500,84.189845
2010-07-22,96.050003,96.050003,95.779999,95.790001,656800,84.463186
2010-07-21,95.779999,96.410004,95.769997,96.32,470700,84.930514
2010-07-20,95.900002,96.110001,95.690002,95.709999,895900,84.392644
2010-07-19,95.720001,95.839996,95.519997,95.610001,489800,84.30447
2010-07-16,95.389999,95.919998,95.389999,95.860001,864200,84.524909
2010-07-15,95.019997,95.489998,95.019997,95.309998,703600,84.039941
2010-07-14,94.68,94.980003,94.50,94.82,566500,83.607884
2010-07-13,94.629997,94.669998,94.330002,94.349998,679700,83.193459
2010-07-12,94.82,95.059998,94.75,94.82,685200,83.607884
2010-07-09,94.779999,94.860001,94.660004,94.660004,439800,83.466807
2010-07-08,94.849998,95.040001,94.709999,94.910004,508400,83.687245
2010-07-07,95.510002,95.519997,95.110001,95.139999,473900,83.890045
2010-07-06,95.160004,95.57,95.050003,95.440002,914100,84.154574
2010-07-02,95.209999,95.419998,95.080002,95.209999,1072400,83.951767
2010-07-01,95.43,95.839996,95.339996,95.379997,1293700,84.101664
2010-06-30,95.610001,95.669998,95.330002,95.669998,891500,84.138699
2010-06-29,95.339996,95.599998,95.300003,95.529999,920400,84.015574
2010-06-28,94.779999,95.129997,94.779999,95.120003,924300,83.654995
2010-06-25,94.209999,94.68,94.190002,94.449997,455400,83.065747
2010-06-24,94.57,94.660004,94.169998,94.300003,1075100,82.933832
2010-06-23,94.120003,94.529999,94.099998,94.379997,632500,83.004184
2010-06-22,93.540001,94.07,93.489998,94.029999,549200,82.696372
2010-06-21,93.029999,93.510002,93.00,93.470001,569100,82.203872
2010-06-18,93.669998,93.709999,93.529999,93.540001,463400,82.265434
2010-06-17,93.389999,93.870003,93.389999,93.730003,792500,82.432535
2010-06-16,93.309998,93.370003,93.019997,93.290001,621900,82.045567
2010-06-15,93.339996,93.43,92.900002,93.029999,1114400,81.816904
2010-06-14,92.93,93.330002,92.809998,93.32,627700,82.07195
2010-06-11,93.239998,93.559998,93.00,93.400002,404800,82.142309
2010-06-10,93.290001,93.330002,92.769997,92.809998,655200,81.62342
2010-06-09,93.410004,93.790001,93.300003,93.68,264000,82.388559
2010-06-08,93.68,93.919998,93.629997,93.669998,604300,82.379763
2010-06-07,93.470001,93.980003,93.419998,93.959999,413800,82.634809
2010-06-04,93.190002,93.610001,93.089996,93.580002,728300,82.300614
2010-06-03,92.139999,92.559998,92.080002,92.300003,274300,81.174896
2010-06-02,92.919998,93.029999,92.389999,92.43,519100,81.289224
2010-06-01,93.160004,93.190002,92.730003,92.959999,978900,81.755341
2010-05-28,92.900002,93.139999,92.720001,93.099998,511700,81.649801
2010-05-27,92.879997,92.900002,92.57,92.68,522800,81.281457
2010-05-26,93.459999,93.599998,93.110001,93.57,551600,82.061997
2010-05-25,94.029999,94.199997,93.620003,93.760002,1064000,82.228632
2010-05-24,93.519997,93.669998,93.330002,93.440002,2949400,81.947988
2010-05-21,94.139999,94.209999,93.269997,93.440002,1196200,81.947988
2010-05-20,93.209999,93.629997,93.050003,93.389999,1221600,81.904135
2010-05-19,92.43,92.889999,92.379997,92.489998,839700,81.114823
2010-05-18,91.779999,92.480003,91.739998,92.410004,1711400,81.044667
2010-05-17,91.93,92.330002,91.699997,91.739998,535100,80.457064
2010-05-14,91.760002,92.209999,91.699997,91.940002,488700,80.63247
2010-05-13,91.349998,91.43,90.889999,91.349998,420300,80.11503
2010-05-12,91.220001,91.339996,91.040001,91.099998,424000,79.895777
2010-05-11,91.410004,91.459999,91.029999,91.330002,891400,80.097493
2010-05-10,90.989998,91.410004,90.980003,91.220001,836200,80.001021
2010-05-07,91.93,92.75,91.779999,91.919998,3856500,80.614926
2010-05-06,91.239998,93.059998,91.099998,92.169998,902400,80.834179
2010-05-05,91.18,91.589996,90.980003,91.169998,672000,79.957167
2010-05-04,90.760002,90.889999,90.610001,90.82,355000,79.650215
2010-05-03,90.169998,90.279999,90.110001,90.209999,300500,79.115237
2010-04-30,90.279999,90.730003,90.269997,90.720001,423200,79.323094
2010-04-29,90.010002,90.230003,89.889999,90.169998,350500,78.842187
2010-04-28,90.160004,90.290001,89.860001,90.019997,409700,78.711029
2010-04-27,90.050003,90.540001,89.949997,90.480003,442800,79.113247
2010-04-26,89.779999,89.809998,89.550003,89.639999,161900,78.37877
2010-04-23,89.610001,89.68,89.489998,89.580002,174200,78.32631
2010-04-22,90.150002,90.25,89.800003,89.830002,169300,78.544903
2010-04-21,89.839996,90.080002,89.75,90.040001,446500,78.728521
2010-04-20,89.669998,89.75,89.550003,89.75,171300,78.474952
2010-04-19,89.849998,89.879997,89.639999,89.709999,215300,78.439976
2010-04-16,89.540001,89.959999,89.43,89.93,409900,78.632339
2010-04-15,89.110001,89.470001,89.07,89.389999,299900,78.160177
2010-04-14,89.480003,89.57,89.199997,89.239998,315800,78.02902
2010-04-13,89.529999,89.589996,89.330002,89.480003,309100,78.238874
2010-04-12,89.209999,89.410004,89.120003,89.309998,402000,78.090226
2010-04-09,88.849998,89.099998,88.75,89.07,314600,77.880378
2010-04-08,89.160004,89.309998,88.919998,88.970001,465400,77.792942
2010-04-07,88.510002,89.169998,88.489998,89.07,562000,77.880378
2010-04-06,88.559998,88.599998,88.370003,88.519997,566100,77.39947
2010-04-05,88.440002,88.529999,88.120003,88.260002,656100,77.172138
2010-04-01,89.110001,89.160004,88.940002,89.059998,397600,77.871632
2010-03-31,89.459999,89.580002,89.349998,89.50,398900,78.033393
2010-03-30,89.190002,89.290001,89.019997,89.290001,246500,77.850299
2010-03-29,89.300003,89.370003,89.099998,89.199997,521400,77.771826
2010-03-26,89.029999,89.360001,89.019997,89.330002,734100,77.885175
2010-03-25,89.269997,89.370003,88.82,89.120003,601900,77.70208
2010-03-24,89.870003,89.989998,89.32,89.449997,531300,77.989796
2010-03-23,90.510002,90.599998,90.349998,90.349998,244100,78.774491
2010-03-22,90.459999,90.540001,90.389999,90.540001,338100,78.94015
2010-03-19,90.239998,90.519997,90.230003,90.239998,171300,78.678583
2010-03-18,90.529999,90.589996,90.330002,90.360001,202600,78.783212
2010-03-17,90.559998,90.629997,90.449997,90.599998,288300,78.992461
2010-03-16,90.160004,90.529999,90.129997,90.489998,388200,78.896554
2010-03-15,90.129997,90.199997,89.970001,90.139999,190100,78.591397
2010-03-12,89.800003,90.25,89.790001,90.139999,276400,78.591397
2010-03-11,89.910004,90.139999,89.849998,90.00,283100,78.469334
2010-03-10,89.93,90.099998,89.879997,90.080002,329800,78.539086
2010-03-09,90.18,90.230003,90.00,90.230003,350500,78.669869
2010-03-08,90.010002,90.080002,89.970001,90.00,399800,78.469334
2010-03-05,90.309998,90.330002,90.050003,90.239998,549900,78.678583
2010-03-04,90.470001,90.779999,90.370003,90.669998,431100,79.053493
2010-03-03,90.410004,90.559998,90.300003,90.510002,476700,78.913995
2010-03-02,90.360001,90.620003,90.32,90.599998,417900,78.992461
2010-03-01,90.559998,90.620003,90.400002,90.550003,468600,78.948871
2010-02-26,90.620003,90.910004,90.610001,90.699997,609900,78.866906
2010-02-25,90.57,90.620003,90.419998,90.559998,256600,78.745171
2010-02-24,90.209999,90.379997,90.050003,90.230003,394300,78.458229
2010-02-23,89.610001,90.230003,89.580002,90.18,557200,78.41475
2010-02-22,89.440002,89.580002,89.419998,89.50,349700,77.823465
2010-02-19,89.459999,89.57,89.260002,89.57,527900,77.884332
2010-02-18,89.900002,89.900002,89.309998,89.519997,474300,77.840853
2010-02-17,90.089996,90.220001,89.68,89.839996,358000,78.119104
2010-02-16,89.940002,90.349998,89.910004,90.32,175400,78.536484
2010-02-12,90.199997,90.269997,90.099998,90.120003,219800,78.36258
2010-02-11,90.029999,90.029999,89.669998,89.910004,496900,78.179978
2010-02-10,90.410004,90.459999,89.889999,90.019997,496200,78.275621
2010-02-09,90.519997,90.730003,90.25,90.269997,481200,78.493005
2010-02-08,90.68,90.779999,90.559998,90.760002,257600,78.919082
2010-02-05,90.489998,91.00,90.43,90.839996,694700,78.98864
2010-02-04,90.199997,90.589996,90.199997,90.550003,503400,78.73648
2010-02-03,89.980003,90.050003,89.779999,89.809998,435300,78.093019
2010-02-02,90.129997,90.25,90.099998,90.239998,426000,78.46692
2010-02-01,90.260002,90.260002,89.989998,90.089996,634300,78.336488
2010-01-29,90.260002,90.699997,90.150002,90.699997,396700,78.606048
2010-01-28,90.089996,90.449997,90.089996,90.349998,318100,78.302719
2010-01-27,90.639999,90.809998,90.300003,90.379997,342100,78.328718
2010-01-26,90.690002,90.709999,90.419998,90.589996,490600,78.510715
2010-01-25,90.410004,90.529999,90.400002,90.410004,1699000,78.354723
2010-01-22,90.459999,90.68,90.43,90.610001,272900,78.528052
2010-01-21,90.080002,90.599998,90.059998,90.529999,349200,78.458718
2010-01-20,90.139999,90.32,90.129997,90.199997,228800,78.172719
2010-01-19,89.860001,89.959999,89.709999,89.889999,411900,77.904056
2010-01-15,89.980003,90.150002,89.959999,90.050003,429200,78.042725
2010-01-14,89.489998,89.769997,89.389999,89.650002,511700,77.69606
2010-01-13,89.480003,89.669998,89.199997,89.230003,281900,77.332064
2010-01-12,89.599998,89.720001,89.480003,89.660004,403000,77.704728
2010-01-11,89.010002,89.150002,88.93,89.019997,653600,77.15006
2010-01-08,89.129997,89.139999,88.82,88.959999,382500,77.098062
2010-01-07,88.870003,89.050003,88.809998,88.849998,390900,77.002729
2010-01-06,89.150002,89.199997,88.779999,88.849998,365500,77.002729
2010-01-05,89.059998,89.349998,89.059998,89.209999,1547500,77.314727
2010-01-04,88.739998,88.949997,88.629997,88.82,619100,76.97673
