Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,139.660004,142.559998,139.539993,142.410004,243935200,132.768851
2012-12-28,140.639999,141.419998,139.869995,140.029999,148806700,130.549972
2012-12-27,141.789993,142.080002,139.919998,141.559998,167920600,131.97639
2012-12-26,142.639999,142.710007,141.350006,141.75,106947700,132.153529
2012-12-24,142.479996,142.559998,142.190002,142.350006,53874600,132.712915
2012-12-21,142.169998,144.089996,141.940002,142.789993,245883800,133.123115
2012-12-20,144.380005,145.139999,143.979996,145.119995,168487000,134.342563
2012-12-19,145.529999,145.580002,144.240005,144.289993,150895400,133.574202
2012-12-18,144.00,145.50,143.789993,145.369995,177762800,134.573997
2012-12-17,142.470001,143.850006,142.429993,143.770004,143238200,133.09283
2012-12-14,142.320007,142.580002,141.880005,142.100006,137701700,131.546856
2012-12-13,143.419998,143.830002,142.270004,142.630005,135715000,132.037494
2012-12-12,144.00,144.550003,143.309998,143.509995,145880100,132.85213
2012-12-11,143.059998,144.110001,142.990005,143.440002,152570400,132.787336
2012-12-10,142.210007,142.809998,142.149994,142.470001,98840700,131.889373
2012-12-07,142.529999,142.690002,141.669998,142.410004,108726400,131.833831
2012-12-06,141.369995,142.039993,141.160004,141.979996,103220600,131.435758
2012-12-05,141.369995,142.160004,140.369995,141.50,147300500,130.991409
2012-12-04,141.440002,141.869995,140.869995,141.25,127512200,130.759976
2012-12-03,142.800003,142.919998,141.339996,141.449997,124656300,130.94512
2012-11-30,142.139999,142.419998,141.660004,142.149994,136568300,131.593131
2012-11-29,141.990005,142.509995,141.369995,142.119995,151085900,131.56536
2012-11-28,139.759995,141.539993,139.00,141.460007,177086500,130.954386
2012-11-27,140.910004,141.389999,140.240005,140.330002,128646200,129.908302
2012-11-26,140.649994,141.360001,140.190002,141.050003,100124400,130.574832
2012-11-23,140.130005,141.399994,140.039993,141.350006,65409200,130.852555
2012-11-21,139.309998,139.570007,139.029999,139.449997,81710800,129.093651
2012-11-20,138.910004,139.419998,138.080002,139.190002,119807400,128.852965
2012-11-19,137.899994,139.149994,136.410004,139.130005,151495800,128.797423
2012-11-16,135.899994,136.639999,134.699997,136.369995,239483900,126.242388
2012-11-15,135.979996,136.490005,135.179993,135.699997,178128400,125.622147
2012-11-14,138.210007,138.429993,135.619995,135.929993,191505000,125.835062
2012-11-13,137.539993,139.25,137.360001,137.789993,123018300,127.556929
2012-11-12,138.589996,138.809998,137.960007,138.270004,97677500,128.001291
2012-11-09,137.619995,139.440002,137.550003,138.160004,201055300,127.89946
2012-11-08,139.699997,140.410004,137.929993,138.039993,181517300,127.788362
2012-11-07,141.660004,141.679993,139.059998,139.720001,264304500,129.343603
2012-11-06,142.279999,143.520004,142.130005,142.960007,107068100,132.342988
2012-11-05,141.350006,142.169998,140.929993,141.850006,98378500,131.315422
2012-11-02,143.679993,143.720001,141.410004,141.559998,137702200,131.046951
2012-11-01,141.649994,143.009995,141.520004,142.830002,100995600,132.222638
2012-10-31,141.850006,142.029999,140.679993,141.350006,103438500,130.852555
2012-10-26,141.300003,141.839996,140.389999,141.350006,146023500,130.852555
2012-10-25,142.020004,142.279999,140.570007,141.429993,134457400,130.926601
2012-10-24,141.929993,142.100006,140.800003,141.020004,120179400,130.547061
2012-10-23,141.860001,142.059998,140.830002,141.419998,192056300,130.917349
2012-10-22,143.149994,143.669998,142.279999,143.410004,125578600,132.759565
2012-10-19,145.550003,145.559998,143.050003,143.389999,185645200,132.741047
2012-10-18,145.820007,146.520004,145.330002,145.820007,148108500,134.990588
2012-10-17,145.639999,146.320007,145.419998,146.199997,128834100,135.342358
2012-10-16,144.759995,145.639999,144.660004,145.539993,108815500,134.73137
2012-10-15,143.229996,144.229996,142.770004,144.080002,107689100,133.379806
2012-10-12,143.460007,143.949997,142.580002,142.889999,124181900,132.278179
2012-10-11,144.279999,144.490005,143.330002,143.360001,123601500,132.713276
2012-10-10,144.179993,144.320007,143.089996,143.279999,124247500,132.639215
2012-10-09,145.529999,145.649994,144.149994,144.199997,148872900,133.490889
2012-10-08,145.600006,146.119995,145.309998,145.639999,78415400,134.823949
2012-10-05,146.910004,147.160004,145.699997,146.139999,124842100,135.286816
2012-10-04,145.639999,146.339996,145.440002,146.130005,124311600,135.277564
2012-10-03,144.889999,145.429993,144.130005,145.089996,121283100,134.314792
2012-10-02,144.919998,145.149994,143.830002,144.50,113422200,133.768612
2012-10-01,144.520004,145.690002,144.009995,144.350006,135911200,133.629758
2012-09-28,144.089996,144.559998,143.460007,143.970001,150696100,133.277974
2012-09-27,143.889999,144.970001,143.509995,144.639999,111830300,133.898215
2012-09-26,144.070007,144.110001,142.949997,143.289993,146502200,132.648468
2012-09-25,145.960007,146.240005,144.059998,144.100006,133165200,133.398324
2012-09-24,145.149994,145.979996,145.039993,145.649994,95682000,134.833201
2012-09-21,146.639999,146.669998,145.809998,145.869995,108737500,135.036864
2012-09-20,146.029999,146.789993,145.630005,146.710007,154009800,135.093351
